Word,LgSUBTLCD,Age_Of_Acquisition.x,NPhon,NormingPhase
auroraborealis,1.0414,10.76923077,13,3
scubagear,1.748,8.428571429,8,3
ferriswheel,1.819,5.285714286,9,3
windowwasher,1.909,8.142857143,9,3
aceofspades,2.017,8.115384615,9,3
flightattendant,2.079,7.357142857,11,3
jetski,2.348,8.928571429,6,3
stingray,2.425,7.678571429,6,3
paperairplane,2.55,5.142857143,10,3
crossingguard,2.581,5.571428571,10,3
boy scout,2.615,5.785714286,6,3
skull,2.702,6.33,4,3
skullandcrossbones,2.702,7.964285714,15,3
dressingroom,2.789,6.142857143,9,3
gasstation,3.206,4.5,8,3
trainstation,3.246,5.107142857,9,3
policestation,3.322,4.821428571,10,3
alligator,2.1,4.78,7,3
ambulance,2.862,6.16,9,3
anteater,1.079,8.5,6,3
arch,2.072,8.26,3,3
astronaut,2,6.28,8,3
awning,1.279,11.06,4,3
baby,3.707,3.84,4,3
back,3.918,5.305,3,3
backyard,2.45,3.38,7,3
bag,3.4,4.28,3,3
bar,3.346,6.9,3,3
barber,2.179,6.68,5,3
base,3.005,6.42,3,3
basement,2.833,6.74,7,3
bathroom,3.264,3,6,3
beach,3.111,4.8,3,3
beard,2.602,4.84,4,3
bedroom,3.102,3.9,6,3
billboard,1.785,7.72,7,3
bite,3.176,3.58,3,3
blanket,2.682,3.61,7,3
bouquet,2.072,8.72,4,3
bread,2.956,3.58,4,3
breakfast,3.294,3.47,8,3
bubble,2.467,3.79,4,3
buckets,2.041,5.61,6,3
buffalo,2.405,6.701,6,3
buffet,2.255,7.58,4,3
building,3.382,6.16,6,3
bunny,2.533,4.5,4,3
buoy,1.477,9.76,3,3
cabin,2.663,6.39,5,3
cabinet,2.495,6.06,7,3
cafeteria,2.34,7.15,9,3
cage,2.752,5.06,3,3
cake,3.079,3.26,3,3
camper,1.69,6.67,5,3
can,3.922,4.32,3,3
cape,2.354,6.904,3,3
carpet,2.586,6.05,6,3
cast,2.902,7.24,4,3
cave,2.563,6.74,3,3
chariot,1.869,9.11,6,3
chef,2.509,8.3,3,3
chessboard,1.146,8.37,7,3
circle,2.839,3.67,4,3
claw,2.14,4.7,3,3
clown,2.65,3.72,4,3
coal,2.228,6.65,3,3
cobblestone,0.954,10.5,8,3
coffee,3.483,4.94,4,3
coin,2.459,4.17,3,3
colosseum,0.845,NA,8,3
column,2.477,7.56,5,3
computer,3.088,9.7,8,3
conductor,2.033,7.44,8,3
cone,2.061,4.67,3,3
cook,3.137,4.22,3,3
cooler,2.447,6.11,4,3
coral,1.763,9.06,5,3
corner,3.257,5.21,5,3
counter,2.733,7.11,5,3
crack,3.077,6.33,4,3
crane,2.504,6.776,4,3
crowd,3.09,7.14,4,3
deck,2.799,6.45,3,3
desert,2.864,8.35,5,3
desk,3.148,5.56,4,3
devil,3.069,5,4,3
dock,2.489,8.22,3,3
doctor,3.569,4.6,5,3
dog,3.484,2.8,3,3
dome,1.875,8.44,3,3
door,3.723,3.05,3,3
dot,2.267,4.33,3,3
dragon,2.444,5.58,6,3
drawing,2.752,4.826,5,3
eel,1.724,6.47,2,3
engine,2.907,6.28,5,3
fabric,2.299,6.68,6,3
family,3.728,3.38,6,3
father,3.736,4.11,4,3
fin,1.839,7.3,3,3
fire,3.596,3.25,3,3
fireman,2.025,5.05,6,3
flipper,1.532,8.58,5,3
flute,1.857,8.47,4,3
foot,3.313,3.44,3,3
forest,2.7,6.28,6,3
forklift,1.532,9.11,8,3
fruit,2.855,3.63,4,3
furnace,1.949,10.6,5,3
game,3.577,4.26,3,3
garage,2.912,5.26,5,3
gear,2.748,7.61,3,3
giant,2.936,4.72,5,3
gladiator,1.477,8.56,8,3
glass,3.265,4.47,4,3
gold,3.186,7.1,4,3
grass,2.741,3.94,4,3
guard,3.196,6.25,4,3
hair,3.56,3.17,3,3
handkerchief,2.182,7.22,8,3
head,3.799,3.42,3,3
hole,3.244,5.05,3,3
hook,3.109,6.26,3,3
horn,2.769,4.84,4,3
hose,2.471,5.33,3,3
hug,2.843,2.58,3,3
ink,2.442,5.16,3,3
insect,2.041,4.75,6,3
jester,1.532,10.28,5,3
journal,2.435,8.5,4,3
jungle,2.688,5.26,5,3
kayak,1.079,8.8,4,3
king,3.228,5.42,3,3
kitchen,3.259,3.68,5,3
lantern,1.851,8.55,6,3
leg,3.201,3,3,3
leopard,1.929,6.84,5,3
letter,3.245,4.74,4,3
lid,2.342,5.95,3,3
lifeguard,1.748,5.63,7,3
lightning,2.558,4.76,6,3
line,3.657,4.85,3,3
lot,3.857,6.264,3,3
luggage,2.574,7.63,5,3
makeup,2.716,7.94,5,3
man,3.906,3.11,3,3
mantel,1.518,7.72,5,3
map,2.906,5.6,3,3
megaphone,1.146,10.2,7,3
mermaid,1.869,5.68,5,3
milk,3.101,3.37,4,3
milkman,1.58,6.37,7,3
mine,3.735,4.24,3,3
moat,1.613,9.65,3,3
money,3.752,5.11,4,3
mother,3.745,2.63,4,3
neck,3.293,3,3,3
net,2.734,7,3,3
newspaper,2.877,5.78,7,3
nostril,1.491,7.37,7,3
octopus,1.813,6.26,7,3
office,3.599,6.68,4,3
oil,3.025,7.33,2,3
origami,0.301,9.24,7,3
paddle,2.033,6.58,4,3
papers,3.167,4,5,3
park,3.273,4.47,4,3
pearl,2.484,6.275,3,3
perch,1.58,9.16,3,3
petal,1.415,6.33,4,3
pilot,2.754,6.32,5,3
pinata,0.301,7,7,3
pirate,2.215,6.5,5,3
plank,1.806,7.84,5,3
pocket,3.108,4.74,5,3
pole,2.597,5.63,3,3
porthole,1.342,10.12,7,3
present,3.419,4.83,6,3
propeller,1.748,7,7,3
raft,2.121,7.35,4,3
rainbow,2.367,4.26,5,3
rectangle,1,5,8,3
reflection,2.354,5.5,8,3
restaurant,3.095,5.95,9,3
robot,2.337,5.35,5,3
rock,3.28,3.22,3,3
room,3.796,4.22,3,3
root,2.583,5.94,3,3
sail,2.54,6.47,3,3
sash,1.591,7.67,3,3
saucer,1.863,8.44,4,3
scaffolding,1.079,11.22,8,3
screen,2.885,5.84,5,3
scroll,1.69,9.89,5,3
seed,2.446,4.72,3,3
shadow,2.796,5,4,3
shelf,2.439,5.5,4,3
shell,2.606,5.22,3,3
shoulder,2.99,4.5,5,3
shutter,1.732,7.83,4,3
sidewalk,2.367,4.28,6,3
sign,3.546,4.32,3,3
smoke,3.275,4,4,3
smokestack,0.903,8.94,8,3
snail,1.74,5.79,4,3
snow,2.889,4.11,3,3
soup,2.883,5.37,3,3
spot,3.308,5.39,4,3
square,3.031,4.11,5,3
stage,3.071,6.32,4,3
staircase,1.875,6.5,7,3
stamp,2.348,6.33,5,3
stand,3.692,4.39,5,3
star,3.26,3.89,4,3
steam,2.612,6.26,4,3
stem,1.982,7.26,4,3
step,3.524,4.11,4,3
stick,3.477,3.89,4,3
store,3.332,4.76,4,3
street,3.533,4.58,5,3
string,2.704,4.94,5,3
stripe,1.732,4.05,5,3
suit,3.288,6.67,3,3
suspender,0.477,7.39,8,3
tail,2.915,3.7,3,3
tea,3.149,5.47,2,3
team,3.419,6,3,3
telephone,2.993,4.63,7,3
tentacle,1.146,8.65,7,3
throne,2.367,7.28,4,3
thumb,2.607,4.42,3,3
ticket,3.122,5.32,5,3
tip,3.014,5.42,3,3
tooth,2.604,3.61,3,3
top,3.557,3.89,3,3
torch,2.295,7.84,4,3
towel,2.721,3.22,4,3
track,3.249,6.94,4,3
traffic,2.997,6.22,6,3
trap,2.907,6.44,4,3
trash,2.906,4.47,4,3
tube,2.659,5.5,3,3
tunnel,2.649,5.89,4,3
vest,2.31,5.83,4,3
wall,3.324,3.79,3,3
whale,2.365,5.47,4,3
wind,3.26,3.89,4,3
wing,2.765,4.79,3,3
witch,2.678,4.78,3,3
woman,3.773,4.95,5,3
worker,2.622,6.67,4,3
wrestler,1.771,7.48,5,3
lynx,0.301,10.53,5,1
skittle,0.301,7.07,5,1
firetruck,0.301029996,3.685351,7,1
kneepad,0.301029996,8.06,5,1
bluejay,0.477,5.838,5,1
flyswatter,0.477,5.79,8,1
snowshoe,0.477,7.68,5,1
teabag,0.477,6.67,5,1
paperclip,0.477121255,6.42,8,1
platypus,0.602,7.71,8,1
toucan,0.602,8.69,5,1
chorizo,0.698970004,13.46,6,1
spiderweb,0.698970004,4.900249,8,1
sandcastle,0.699,5.42,9,1
chard,0.778,14,4,1
compasses,0.778,8.44,8,1
dartboard,0.778,8.44,8,1
saltshaker,0.778,5.42,8,1
highchair,0.77815125,3.79,5,1
yoyo,0.77815125,5.624925,4,1
ladybird,0.845,10.53,7,1
pincers,0.845,10.85,6,1
bowtie,0.84509804,7.94,4,1
teepee,0.84509804,5.89,4,1
