OriginalLemma,Phase3_Name,Phase3_Name_Spaces,stimuli
attendant,flightattendant,flight attendant,airport
jet,jetski,jet ski,by_the_lake
spade,aceofspades,ace of spades,airport
father,father,father,"arrival_1, arrival_4, arrival_5, arrival_6, journey, return"
mantle,mantel,mantel,arrival_1
station,trainstation,train station,"arrival_1, arrival_4"
station,gasstation,gas station,"flowerman, waldo_1"
station,policestation,police station,waldo_1
crossbone,skullandcrossbones,skull and crossbones,being_a_pirate
nest,birdsnest,birds nest,being_a_pirate
board,chessboard,chess board,unfriendly_giants
board,billboard,billboard,arrival_4
campers,camper,camper,campsite
scout,boyscout,boy scout,campsite
dressing,dressingroom,dressing room,dinosaurs_spacemen_and_ghouls
rhinocero,rhinoceros,rhinoceros,"escape_from_the_zoo, quest"
zebras,zebra,zebra,escape_from_the_zoo
ferris,ferriswheel,ferris wheel,flowerman
lifeguard,lifeguard,lifeguard,make_a_splash
mower,lawnmower,lawn mower,flowerman
side,sidewalk,sidewalk,"arrival_3, arrival_4, campsite, flowerman"
scuba,scubagear,scuba gear,"quest, wanderer"
giants,giant,giant,unfriendly_giants
crossing,crossingguard,crossing guard,waldo_1
washer,windowwasher,window washer,waldo_1
aurora,auroraborealis,aurora borealis,wanderer
donut,doughnut,doughnut,wanderer
fins,fin,fin,wanderer
rod,fishingrod,fishing rod,wanderer
