"Word","Age_Of_Acquisition","LgSUBTLCD","NPhon"
"auroraborealis",10.76923077,1.0414,13
"scubagear",8.428571429,1.748,8
"ferriswheel",5.285714286,1.819,9
"windowwasher",8.142857143,1.909,9
"aceofspades",8.115384615,2.017,9
"flightattendant",7.357142857,2.079,11
"jetski",8.928571429,2.348,6
"stingray",7.678571429,2.425,6
"paperairplane",5.142857143,2.55,10
"crossingguard",5.571428571,2.581,10
"boy scout",5.785714286,2.615,6
"skull",6.33,2.702,4
"skullandcrossbones",7.964285714,2.702,15
"dressingroom",6.142857143,2.789,9
"gasstation",4.5,3.206,8
"trainstation",5.107142857,3.246,9
"policestation",4.821428571,3.322,10
"alligator",4.78,2.1,7
"ambulance",6.16,2.862,9
"anteater",8.5,1.079,6
"arch",8.26,2.072,3
"astronaut",6.28,2,8
"awning",11.06,1.279,4
"baby",3.84,3.707,4
"back",5.305,3.918,3
"backyard",3.38,2.45,7
"bag",4.28,3.4,3
"bar",6.9,3.346,3
"barber",6.68,2.179,5
"base",6.42,3.005,3
"basement",6.74,2.833,7
"bathroom",3,3.264,6
"beach",4.8,3.111,3
"beard",4.84,2.602,4
"bedroom",3.9,3.102,6
"billboard",7.72,1.785,7
"bite",3.58,3.176,3
"blanket",3.61,2.682,7
"bouquet",8.72,2.072,4
"bread",3.58,2.956,4
"breakfast",3.47,3.294,8
"bubble",3.79,2.467,4
"buckets",5.61,2.041,6
"buffalo",6.701,2.405,6
"buffet",7.58,2.255,4
"building",6.16,3.382,6
"bunny",4.5,2.533,4
"buoy",9.76,1.477,3
"cabin",6.39,2.663,5
"cabinet",6.06,2.495,7
"cafeteria",7.15,2.34,9
"cage",5.06,2.752,3
"cake",3.26,3.079,3
"camper",6.67,1.69,5
"can",4.32,3.922,3
"cape",6.904,2.354,3
"carpet",6.05,2.586,6
"cast",7.24,2.902,4
"cave",6.74,2.563,3
"chariot",9.11,1.869,6
"chef",8.3,2.509,3
"chessboard",8.37,1.146,7
"circle",3.67,2.839,4
"claw",4.7,2.14,3
"clown",3.72,2.65,4
"coal",6.65,2.228,3
"cobblestone",10.5,0.954,8
"coffee",4.94,3.483,4
"coin",4.17,2.459,3
"colosseum",NA,0.845,8
"column",7.56,2.477,5
"computer",9.7,3.088,8
"conductor",7.44,2.033,8
"cone",4.67,2.061,3
"cook",4.22,3.137,3
"cooler",6.11,2.447,4
"coral",9.06,1.763,5
"corner",5.21,3.257,5
"counter",7.11,2.733,5
"crack",6.33,3.077,4
"crane",6.776,2.504,4
"crowd",7.14,3.09,4
"deck",6.45,2.799,3
"desert",8.35,2.864,5
"desk",5.56,3.148,4
"devil",5,3.069,4
"dock",8.22,2.489,3
"doctor",4.6,3.569,5
"dog",2.8,3.484,3
"dome",8.44,1.875,3
"door",3.05,3.723,3
"dot",4.33,2.267,3
"dragon",5.58,2.444,6
"drawing",4.826,2.752,5
"eel",6.47,1.724,2
"engine",6.28,2.907,5
"fabric",6.68,2.299,6
"family",3.38,3.728,6
"father",4.11,3.736,4
"fin",7.3,1.839,3
"fire",3.25,3.596,3
"fireman",5.05,2.025,6
"flipper",8.58,1.532,5
"flute",8.47,1.857,4
"foot",3.44,3.313,3
"forest",6.28,2.7,6
"forklift",9.11,1.532,8
"fruit",3.63,2.855,4
"furnace",10.6,1.949,5
"game",4.26,3.577,3
"garage",5.26,2.912,5
"gear",7.61,2.748,3
"giant",4.72,2.936,5
"gladiator",8.56,1.477,8
"glass",4.47,3.265,4
"gold",7.1,3.186,4
"grass",3.94,2.741,4
"guard",6.25,3.196,4
"hair",3.17,3.56,3
"handkerchief",7.22,2.182,8
"head",3.42,3.799,3
"hole",5.05,3.244,3
"hook",6.26,3.109,3
"horn",4.84,2.769,4
"hose",5.33,2.471,3
"hug",2.58,2.843,3
"ink",5.16,2.442,3
"insect",4.75,2.041,6
"jester",10.28,1.532,5
"journal",8.5,2.435,4
"jungle",5.26,2.688,5
"kayak",8.8,1.079,4
"king",5.42,3.228,3
"kitchen",3.68,3.259,5
"lantern",8.55,1.851,6
"leg",3,3.201,3
"leopard",6.84,1.929,5
"letter",4.74,3.245,4
"lid",5.95,2.342,3
"lifeguard",5.63,1.748,7
"lightning",4.76,2.558,6
"line",4.85,3.657,3
"lot",6.264,3.857,3
"luggage",7.63,2.574,5
"makeup",7.94,2.716,5
"man",3.11,3.906,3
"mantel",7.72,1.518,5
"map",5.6,2.906,3
"megaphone",10.2,1.146,7
"mermaid",5.68,1.869,5
"milk",3.37,3.101,4
"milkman",6.37,1.58,7
"mine",4.24,3.735,3
"moat",9.65,1.613,3
"money",5.11,3.752,4
"mother",2.63,3.745,4
"neck",3,3.293,3
"net",7,2.734,3
"newspaper",5.78,2.877,7
"nostril",7.37,1.491,7
"octopus",6.26,1.813,7
"office",6.68,3.599,4
"oil",7.33,3.025,2
"origami",9.24,0.301,7
"paddle",6.58,2.033,4
"papers",4,3.167,5
"park",4.47,3.273,4
"pearl",6.275,2.484,3
"perch",9.16,1.58,3
"petal",6.33,1.415,4
"pilot",6.32,2.754,5
"pinata",7,0.301,7
"pirate",6.5,2.215,5
"plank",7.84,1.806,5
"pocket",4.74,3.108,5
"pole",5.63,2.597,3
"porthole",10.12,1.342,7
"present",4.83,3.419,6
"propeller",7,1.748,7
"raft",7.35,2.121,4
"rainbow",4.26,2.367,5
"rectangle",5,1,8
"reflection",5.5,2.354,8
"restaurant",5.95,3.095,9
"robot",5.35,2.337,5
"rock",3.22,3.28,3
"room",4.22,3.796,3
"root",5.94,2.583,3
"sail",6.47,2.54,3
"sash",7.67,1.591,3
"saucer",8.44,1.863,4
"scaffolding",11.22,1.079,8
"screen",5.84,2.885,5
"scroll",9.89,1.69,5
"seed",4.72,2.446,3
"shadow",5,2.796,4
"shelf",5.5,2.439,4
"shell",5.22,2.606,3
"shoulder",4.5,2.99,5
"shutter",7.83,1.732,4
"sidewalk",4.28,2.367,6
"sign",4.32,3.546,3
"smoke",4,3.275,4
"smokestack",8.94,0.903,8
"snail",5.79,1.74,4
"snow",4.11,2.889,3
"soup",5.37,2.883,3
"spot",5.39,3.308,4
"square",4.11,3.031,5
"stage",6.32,3.071,4
"staircase",6.5,1.875,7
"stamp",6.33,2.348,5
"stand",4.39,3.692,5
"star",3.89,3.26,4
"steam",6.26,2.612,4
"stem",7.26,1.982,4
"step",4.11,3.524,4
"stick",3.89,3.477,4
"store",4.76,3.332,4
"street",4.58,3.533,5
"string",4.94,2.704,5
"stripe",4.05,1.732,5
"suit",6.67,3.288,3
"suspender",7.39,0.477,8
"tail",3.7,2.915,3
"tea",5.47,3.149,2
"team",6,3.419,3
"telephone",4.63,2.993,7
"tentacle",8.65,1.146,7
"throne",7.28,2.367,4
"thumb",4.42,2.607,3
"ticket",5.32,3.122,5
"tip",5.42,3.014,3
"tooth",3.61,2.604,3
"top",3.89,3.557,3
"torch",7.84,2.295,4
"towel",3.22,2.721,4
"track",6.94,3.249,4
"traffic",6.22,2.997,6
"trap",6.44,2.907,4
"trash",4.47,2.906,4
"tube",5.5,2.659,3
"tunnel",5.89,2.649,4
"vest",5.83,2.31,4
"wall",3.79,3.324,3
"whale",5.47,2.365,4
"wind",3.89,3.26,4
"wing",4.79,2.765,3
"witch",4.78,2.678,3
"woman",4.95,3.773,5
"worker",6.67,2.622,4
"wrestler",7.48,1.771,5
"lynx",10.53,0.301,5
"skittle",7.07,0.301,5
"firetruck",3.685351,0.301029996,7
"kneepad",8.06,0.301029996,5
"bluejay",5.838,0.477,5
"flyswatter",5.79,0.477,8
"snowshoe",7.68,0.477,5
"teabag",6.67,0.477,5
"paperclip",6.42,0.477121255,8
"platypus",7.71,0.602,8
"toucan",8.69,0.602,5
"chorizo",13.46,0.698970004,6
"spiderweb",4.900249,0.698970004,8
"sandcastle",5.42,0.699,9
"chard",14,0.778,4
"compasses",8.44,0.778,8
"dartboard",8.44,0.778,8
"saltshaker",5.42,0.778,8
"highchair",3.79,0.77815125,5
"yoyo",5.624925,0.77815125,4
"ladybird",10.53,0.845,7
"pincers",10.85,0.845,6
"bowtie",7.94,0.84509804,4
"teepee",5.89,0.84509804,4
"anchovy",9.32,0.903,6
"seahorse",5.83,0.903,6
"showerhead",8.05,0.903,6
"xylophone",7.11,0.903,7
"maracas",7.703703704,0.903089987,7
"clothespin",7.83,0.954,7
"dropper",8.56,0.954,5
"mussel",10,0.954,4
"sandal",5.21,0.954,5
"unicycle",7.26,0.954242509,9
"pomegranate",11.17,1,10
"dustpan",6.47,1.041,6
"strainer",9.63,1.079,6
"turnstile",13.67,1.079,7
"birdhouse",5.43,1.079181246,6
"jellybeans",3.25,1.079181246,8
"cufflinks",9.84,1.114,8
"thimble",8.05,1.114,5
"ladybug",4.84,1.146,7
"stoplight",5.89,1.146128036,7
"centipede",7.39,1.176,8
"drumsticks",5.071428571,1.176,9
"fritter",13,1.176,5
"igloo",5.42,1.176,4
"seesaw",4.81,1.176,4
"undershirt",5.56,1.176,7
"shanty",13.33,1.204,5
"hotdog",4.55,1.204119983,6
"acorn",5.95,1.23,5
"paintbrush",6.22,1.23,8
"cymbals",8.12932,1.255,6
"tricycle",4.05,1.255,7
"hippopotamus",7,1.279,11
"armchair",6.56,1.301,6
"dalmatian",6.06,1.301,7
"starfish",5.76,1.301,7
"snowboard",11.14,1.301029996,7
"crayon",3.2,1.322,5
"armadillo",8.609,1.342,8
"zucchini",6.79,1.342,6
"jackhammer",8.1,1.361727836,7
"porcupine",6.89,1.362,9
"artichoke",10,1.38,7
"bib",4.53,1.38,3
"cauliflower",6.18,1.38,8
"hummingbird",6.95,1.38,8
"kiwi",7.56,1.38,4
"pistachio",8.74,1.38,8
"wheelbarrow",6.78,1.38,8
"lawnmower",6.11,1.380211242,6
"anvil",10.79,1.398,4
"swordfish",9.33,1.398,7
"tongs",7.778,1.398,4
"staples",7.18,1.415,6
"trampoline",6.79,1.415,9
"clipboard",7.76,1.431,8
"fondue",10.78,1.431,5
"radish",5.25,1.431,5
"shoelace",4.16,1.431,5
"tulip",7.149,1.431,5
"blackberry",8.95,1.447,8
"hinge",7.95,1.447,4
"ladle",9.83,1.447,4
"llama",8.61,1.447,4
"mousetrap",6.78,1.447,7
"stroller",7.84,1.447,6
"boomerang",9.79,1.462,7
"clog",9.39,1.462,4
"eraser",4.95,1.462,5
"hoe",8.72,1.462,2
"pendant",10.3,1.462,7
"pitchfork",6.89,1.462,7
"tampon",12.11,1.462,6
"gazebo",9.76,1.477,6
"pasty",11.17,1.477,5
"rhinoceros",6,1.477,9
"surfboard",NA,1.477,7
"whisk",8.72,1.477,5
"carnation",10.21,1.491,7
"stapler",5.83,1.491,6
"chainsaw",7,1.491361694,5
"nutcracker",7.24,1.505,8
"spatula",7.32,1.505,7
"tripod",9.26,1.505,6
"antlers",6.39,1.518,6
"tambourine",6.53,1.518,8
"ostrich",6.42,1.532,6
"skyscraper",8.26,1.532,9
"cheetah",8.16,1.544,4
"seagull",5.42,1.544,5
"teapot",6.22,1.556,5
"grasshopper",5.78,1.568,8
"thermos",8.29,1.568,5
"treadmill",11.15,1.568,7
"urinal",8.47,1.568,6
"almonds",7.67,1.58,6
"panda",5.67,1.58,5
"toothpick",6.83,1.58,6
"unicorn",4.83,1.58,8
"croissant",10.15,1.591,7
"pelican",8.22,1.591,7
"flamingo",6.32,1.602,8
"windmill",5.32,1.602,7
"blimp",6.63,1.613,5
"horseshoe",5.85,1.613,6
"jellyfish",6.61,1.613,7
"plunger",9.63,1.613,6
"rhino",5.89,1.613,4
"walrus",5.06,1.613,6
"eggplant",8.3,1.623,7
"hammock",7.11,1.623,5
"asparagus",6.79,1.633,9
"avocado",9.29,1.643,7
"wasp",5.58,1.643,4
"corkscrew",7.78,1.653,8
"harmonica",7.32,1.653,9
"pear",4,1.653,3
"saxophone",9.1,1.653,8
"tweezers",7.16,1.653,6
"toolbox",6.67,1.653212514,7
"fig",8.06,1.663,3
"slingshot",6.53,1.663,7
"doghouse",6.74,1.672,6
"funnel",8.44,1.672,4
"accordion",8.61,1.672,8
"escalator",7.11,1.69,8
"sailboat",4.65,1.69,6
"mixer",7.05,1.699,5
"pliers",7,1.699,5
"banjo",8.44,1.708,5
"carousel",6.68,1.708,7
"chestnut",6.55,1.708,6
"raccoon",6.79,1.708,5
"volleyball",7.05,1.708,7
"dragonfly",6.8,1.716,9
"slipper",5.26,1.716,5
"bleachers",NA,1.724,6
"calculator",8.22,1.724,10
"skis",6.68,1.724,4
"snowman",3.47,1.724,6
"hanger",6.78,1.74,4
"scorpion",7.84,1.748,8
"beetle",5.32,1.763,4
"peacock",5.763,1.763,5
"giraffe",5,1.763,5
"popsicle",3.78,1.770852012,8
"frisbee",5.5,1.771,6
"walnut",6.16,1.771,6
"zebra",4.79,1.771,5
"blender",6.84,1.778,6
"kangaroo",5.55,1.778,7
"raven",8.56,1.778,4
"armour",7.17,1.785,4
"penguin",5.68,1.785,7
"skateboard",6.94,1.785,8
"folder",8.21,1.792,5
"lollipop",3.89,1.792,7
"poppy",10.367,1.792,4
"raisin",5.05,1.792,4
"sled",4.89,1.799,4
"celery",5.78,1.806,6
"headphones",7.74,1.806,7
"bathrobe",7.9,1.813,6
"vulture",8.89,1.813,5
"lighthouse",6.11,1.819,6
"chopsticks",7.854453,1.826,8
"keyboard",9.32,1.826,6
"waterfall",5.47,1.833,7
"broccoli",5.2,1.839,7
"watermelon",4.22,1.839,9
"binoculars",6.79,1.845,10
"salsa",9.78,1.84509804,5
"crocodile",5.11,1.851,8
"dart",7.38,1.857,4
"waffle",5.32,1.857,4
"raspberry",5.33,1.857332496,7
"cucumber",5.72,1.863,8
"dolphin",6.05,1.863,6
"deodorant",8.83,1.869,8
"printer",7.61,1.869,6
"mosquito",6.1,1.881,7
"squid",7.32,1.881,5
"canoe",6.63,1.887,4
"kite",4.58,1.887,3
"raisins",5.05,1.887,5
"pineapple",6.25,1.898,6
"scooter",6.68,1.898,5
"thermometer",6.63,1.898,8
"tile",6.8,1.898,3
"cherries",5.58,1.903,5
"iceberg",8.21,1.909,5
"antenna",7.05,1.914,6
"harp",7.55,1.914,4
"mushroom",6.44,1.924,6
"screwdriver",6,1.929,9
"cactus",6.72,1.935,6
"rake",5.32,1.944,3
"telescope",6.95,1.944,8
"blueberry",6.22,1.949,7
"bagel",8.9,1.973127854,5
"magnet",6.1,1.978,6
"earring",7.17,1.982,5
"parrot",5.58,1.982,5
"cathedral",10.58,2,8
"pyramid",7.61,2,7
"trumpet",6.28,2,7
"cupcake",4.11,2.004,6
"cellphone",14.669556,2.004321374,6
"rooster",6.41,2.013,5
"microscope",9.16,2.017,9
"tractor",5.5,2.029,6
"apron",6.75,2.033,5
"hen",6.39,2.033,3
"pitcher",6.42,2.033,4
"skunk",5.32,2.033,5
"stocking",6.68,2.033,6
"swan",6.318,2.033,4
"spear",7.22,2.037,4
"volcano",6.74,2.037,7
"cabbage",5.78,2.041,5
"fingerprint",7.56,2.045,10
"ant",4.32,2.049,3
"plum",5.5,2.053,4
"lizard",5.42,2.064,5
"cork",9.05,2.068,4
"ashtray",5.95,2.072,5
"toaster",6.72,2.075,5
"zipper",5,2.075,4
"parachute",7,2.083,7
"vase",7.89,2.086,3
"violin",7.45,2.09,6
"carrot",2.74,2.093,5
"lettuce",4.28,2.093,5
"lime",6.61,2.093,3
"skate",5.37,2.093,4
"compass",8.44,2.097,6
"triangle",4.9,2.1,7
"moose",5.22,2.104,3
"beaver",5.21,2.107,4
"wrench",7.84,2.107,4
"grapes",3.94,2.114,5
"backpack",5.38,2.121,6
"laptop",12.44,2.127104798,6
"sunglasses",5.56,2.137,9
"owl",6.21,2.14,2
